File title$Item title & copyright
liv_000916_copyright_information.txt$Livingstone, David, 1813-1873. Moteverde, Emilio Achilles, 1803-1881. Letter to The Earl of Clarendon, 26 August 1856.   
liv_001440_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Commander of Her Majesty's Ship, 31 May 1859. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002210_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Murray III, [October 1864-February 1865]. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002384_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [Lady Franklin], 7 August 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002538_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2 and Robert L. Playfair, 30 May 1869. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002959_copyright_information.txt$Livingstone, David, 1813-1873. Ink Sketch of Shupanga House and Mary's Grave, [1862-1863]. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000077_copyright_information.txt$Livingstone, David, 1813-1873. Map of Lakes Nyassa and Shirwa, [1864?]. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_012049_copyright_information.txt$Vardon, Frank, ?-1860. Letter to David Livingstone, Date Unknown (No Later than 1873). Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_012050_copyright_information.txt$Stanley, Henry M., 1841-1904. Letter to Unknown, 14 August 1871. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014087_copyright_information.txt$The Livingstone Press, London. Iredale, S.E. Alphabetical Adventures of Livingstone in Africa for Boys and Girls, 1941. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014020_copyright_information.txt$Hero Films Ltd. Promotional Booklet for Livingstone: A Drama of Reality (Film), 1925. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_012048_copyright_information.txt$Livingstone, Charles, 1821-1873. Letter to Roderick I. Murchison, 17 October 1864. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_012052_copyright_information.txt$Livingstone, Charles, 1821-1873. Letter to Roderick I. Murchison, Date Unknown (No Later than 1873). Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014021_copyright_information.txt$Hero Films Ltd. Promotional Leaflet for Livingstone: A Super Film (Film), 1925. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014022_copyright_information.txt$Hero Films Ltd. Talking Music Film Appreciations Leaflet for Livingstone (Film), 1925. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014023_copyright_information.txt$Wakelin, John. Hero Films Ltd. David Livingstone: A Study in Creative Personality, 1925. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014024_copyright_information.txt$Hero Films Ltd. Promotional Booklet for Livingstone: A Drama of Reality (Film), 1925. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014025_copyright_information.txt$Hero Films Ltd. Promotional Leaflet for Livingstone (Film) Screening at Windmill Theatre, 1931. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014026_copyright_information.txt$Hero Films Ltd. Hero Films Ltd Balance Sheet for Livingstone (Film), 1924. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014038_copyright_information.txt$Livingstone Film Expedition. Letter to John Murray IV, 1923. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014077_copyright_information.txt$Murray, John V, 1884-1967. Letter to Livingstone Film Expedition, 1923. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014078_copyright_information.txt$Murray, John V, 1884-1967. Murray, Helen [Lady Helen de Vere], 1892-1971. Invitation Card for Livingstone (Film) Fundraising Event from John and Helen Murray, 1924. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014079_copyright_information.txt$Murray, John V, 1884-1967. Murray, Helen [Lady Helen de Vere], 1892-1971. Agenda for Livingstone (Film) Fundraising Event from John and Helen Murray, 1924. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_003018_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John McRobert and Catherine McRobert, 5 June 1844. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000088_copyright_information.txt$Livingstone, David, 1813-1873. Letter to James Young, James Hannan, and Andrew Buchanan, 24 June 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000089_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Unknown, 16 April 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000090_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Messrs Coutts and Co., 12 January 1872. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000091_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [Agnes?] Livingstone 3, 11 November 1871. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002729_copyright_information.txt$Livingstone, David, 1813-1873. Meller, Charles J., 1836-1869. Gedge, Jonson. One of the creators is unidentified. Comparison of Chronometers, 6 March 1858-24 March 1863. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_014033_copyright_information.txt$Kirk, John 2, 1832-1922. Printed Map of Lake Nyassa, the River Shire &c. from the MS Map of John Kirk, 1860. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_002138_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 12 December 1864. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002191_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 13 February 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002193_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 14 February 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002236_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 24 March 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001187_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [John Kirk 2], 22 January 1858. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002241_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 27, 28 March 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002242_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [John Kirk 2], 28 March 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002299_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 13 May 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002333_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 8 June 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002463_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 1 January 1866. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002056_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 1 September 1864. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002092_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 21 October 1864. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002128_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 30 November 1864. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002123_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 27 November 1864. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_014001_copyright_information.txt$Baines, Thomas, 1820-1875. The Victoria Falls, Zambesi River, Sketched on the Spot (Cover, Title Page, 1-6, plates 2-11), 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_014082_copyright_information.txt$Stanley, Henry M., 1841-1904. The Life and Labours of David Livingstone, The Graphic, 25 April 1874. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/).  
liv_000457_copyright_information.txt$Livingstone, David, 1813-1873. Barff, John. Letter to Janet Livingstone 1, 3 October 1838; Poem to the Tune of "Auld Lang Syne," Date Unknown. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000482_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Neil Livingstone 1 and Agnes Livingstone 1, 19 May 1841. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001318_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 7 May 1858. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001376_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 1, 6 October 1858. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001500_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 1, 31 October 1859. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001544_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 28 February 1860. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001596_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 28 November 1860. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001603_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 2, 30 November 1860. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001677_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Robert M. Livingstone, 26 September 1861. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001679_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 12 October 1861. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001699_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 1, 29 November 1861. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001713_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Janet Livingstone 1, 1 January 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000491_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Parents and Sisters, 29 September 1841. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001717_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 7 January 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001768_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 28 April 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001770_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Robert Moffat 1, 28, 29 April 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001776_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Janet Livingstone 1, 5 May 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001816_copyright_information.txt$Livingstone, David, 1813-1873. Letter to William O. Livingstone, 21 August 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001817_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 1, 30 August 1862, 21 October 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001836_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [? Livingstone], 21 October 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001828_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 10 October 1862. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000495_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Janet Livingstone 1 and Agnes Livingstone 2, 8 December 1841. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001988_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 26 December 1863. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002445_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 2 December 1865. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002475_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [Thomas S. Livingstone?], 6 February [1866]. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002501_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Thomas S. Livingstone, 28 August 1866, 1 February 1867. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002568_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 13 February 1871. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002715_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 13 February 1871. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000505_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 2, 4 April 1842. Images copyright National Library of Scotland. Creative Commons Share-alike 2.5 UK: Scotland (https://creativecommons.org/licenses/by-nc-sa/2.5/scotland/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
